FID,FeedTime,CowTag,CurrentCup,MaxCups,CurrentPeriod,MaxPeriods,CupDelay,PeriodDelay,FoodType
1,5/18/24 2:08,000000000840003250681222,4,5,1,6,40,7200,1
1,5/18/24 2:09,000000000840003250681222,5,5,1,6,40,7200,1
1,5/18/24 2:10,000000000840003250681999,1,5,1,6,40,7200,1
1,5/18/24 2:11,000000000840003250681999,2,5,1,6,40,7200,1
1,5/18/24 2:12,000000000840003250681999,3,5,1,6,40,7200,1
1,5/18/24 2:13,000000000840003250681999,4,5,1,6,40,7200,1
1,5/18/24 2:14,000000000840003250681999,5,5,1,6,40,7200,1
1,5/18/24 2:52,000000000840003250681777,1,5,2,6,40,7200,1
1,5/18/24 2:53,000000000840003250681777,2,5,2,6,40,7200,1
1,5/18/24 2:53,000000000840003250681777,3,5,2,6,40,7200,1
1,5/18/24 2:54,000000000840003250681777,4,5,2,6,40,7200,1
1,5/18/24 2:55,000000000840003250681777,5,5,2,6,40,7200,1
1,5/18/24 2:56,000000000840003250681666,1,5,1,6,40,7200,1
1,5/18/24 2:58,000000000840003250681666,2,5,1,6,40,7200,1
1,5/18/24 2:59,000000000840003250681666,3,5,1,6,40,7200,1
1,5/18/24 2:59,000000000840003250681666,4,5,1,6,40,7200,1
1,5/18/24 3:01,000000000840003250681666,5,5,1,6,40,7200,1
1,5/18/24 3:31,000000000840003250681222,1,5,2,6,40,7200,1
1,5/18/24 3:32,000000000840003250681222,2,5,2,6,40,7200,1
1,5/18/24 3:32,000000000840003250681222,3,5,2,6,40,7200,1
1,5/18/24 3:33,000000000840003250681222,4,5,2,6,40,7200,1
1,5/18/24 3:34,000000000840003250681222,5,5,2,6,40,7200,1
1,5/18/24 3:37,000000000840003250681333,1,5,1,6,40,7200,1
1,5/18/24 3:38,000000000840003250681333,2,5,1,6,40,7200,1
1,5/18/24 3:39,000000000840003250681666,1,5,2,6,40,7200,1
1,5/18/24 3:39,000000000840003250681666,2,5,2,6,40,7200,1
1,5/18/24 3:41,000000000840003250681666,3,5,2,6,40,7200,1
1,5/18/24 3:42,000000000840003250681666,4,5,2,6,40,7200,1
1,5/18/24 3:43,000000000840003250681666,5,5,2,6,40,7200,1
1,5/18/24 4:01,000000000840003250681444,1,5,1,6,40,7200,1
1,5/18/24 4:04,000000000840003250681444,1,5,2,6,40,7200,1
1,5/18/24 4:05,000000000840003250681444,2,5,2,6,40,7200,1
1,5/18/24 4:06,000000000840003250681444,3,5,2,6,40,7200,1
1,5/18/24 4:07,000000000840003250681444,4,5,2,6,40,7200,1
1,5/18/24 4:07,000000000840003250681444,5,5,2,6,40,7200,1
1,5/18/24 4:15,000000000840003250681333,1,5,2,6,40,7200,1
1,5/18/24 4:37,000000000840003250681555,1,5,1,6,40,7200,1
1,5/18/24 4:38,000000000840003250681555,2,5,1,6,40,7200,1
1,5/18/24 4:45,000000000840003250681555,3,5,1,6,40,7200,1
1,5/18/24 4:45,000000000840003250681555,4,5,1,6,40,7200,1
1,5/18/24 4:46,000000000840003250681555,5,5,1,6,40,7200,1
1,5/18/24 5:39,000000000840003250681444,2,5,1,6,40,7200,1
1,5/18/24 5:44,000000000840003250681444,3,5,1,6,40,7200,1
1,5/18/24 5:46,000000000840003250681444,4,5,1,6,40,7200,1
1,5/18/24 5:50,000000000840003250681222,1,5,2,6,40,7200,1
1,5/18/24 5:51,000000000840003250681222,2,5,2,6,40,7200,1
1,5/18/24 5:51,000000000840003250681222,3,5,2,6,40,7200,1
1,5/18/24 5:52,000000000840003250681222,4,5,2,6,40,7200,1
1,5/18/24 5:53,000000000840003250681222,5,5,2,6,40,7200,1
1,5/18/24 5:55,000000000840003250681999,1,5,2,6,40,7200,1
1,5/18/24 6:02,000000000840003250681666,1,5,2,6,40,7200,1
1,5/18/24 6:02,000000000840003250681666,2,5,2,6,40,7200,1
1,5/18/24 6:03,000000000840003250681666,3,5,2,6,40,7200,1
1,5/18/24 6:06,000000000840003250681999,2,5,2,6,40,7200,1
1,5/18/24 6:07,000000000840003250681999,3,5,2,6,40,7200,1
1,5/18/24 6:09,000000000840003250681444,1,5,3,6,40,7200,1
1,5/18/24 6:10,000000000840003250681444,2,5,3,6,40,7200,1
1,5/18/24 6:11,000000000840003250681444,3,5,3,6,40,7200,1
1,5/18/24 6:11,000000000840003250681444,4,5,3,6,40,7200,1
1,5/18/24 6:12,000000000840003250681444,5,5,3,6,40,7200,1
1,5/18/24 6:14,000000000840003250681666,4,5,2,6,40,7200,1
1,5/18/24 6:15,000000000840003250681666,5,5,2,6,40,7200,1
1,5/18/24 6:16,000000000840003250681222,1,5,3,6,40,7200,1
1,5/18/24 6:18,000000000840003250681222,2,5,3,6,40,7200,1
1,5/18/24 6:18,000000000840003250681555,1,5,1,6,40,7200,1
1,5/18/24 6:19,000000000840003250681555,2,5,1,6,40,7200,1
1,5/18/24 6:20,000000000840003250681555,3,5,1,6,40,7200,1
1,5/18/24 6:23,000000000840003250681222,1,5,1,6,40,7200,1
1,5/18/24 6:24,000000000840003250681222,2,5,1,6,40,7200,1
1,5/18/24 6:25,000000000840003250681222,3,5,1,6,40,7200,1
1,5/18/24 6:26,000000000840003250681222,4,5,1,6,40,7200,1
1,5/18/24 6:27,000000000840003250681222,5,5,1,6,40,7200,1
1,5/18/24 6:28,000000000840003250681333,1,5,2,6,40,7200,1
1,5/18/24 6:29,000000000840003250681333,2,5,2,6,40,7200,1
1,5/18/24 6:29,000000000840003250681999,4,5,2,6,40,7200,1
1,5/18/24 6:30,000000000840003250681999,5,5,2,6,40,7200,1
1,5/18/24 6:35,000000000840003250681333,1,5,3,6,40,7200,1
1,5/18/24 6:35,000000000840003250681555,4,5,1,6,40,7200,1
1,5/18/24 6:36,000000000840003250681555,5,5,1,6,40,7200,1
1,5/18/24 6:40,000000000840003250681333,2,5,3,6,40,7200,1
1,5/18/24 6:58,000000000840003250681333,3,5,3,6,40,7200,1
1,5/18/24 6:59,000000000840003250681333,4,5,3,6,40,7200,1
